id,category
1,5
2,12
3,11
4,1
5,13
6,0
7,10
8,0
9,1
10,0
11,17
12,11
13,15
14,4
15,3
16,3
17,1
18,9
19,11
20,17
21,12
22,0
23,16
24,6
25,4
26,6
27,11
28,1
29,1
30,13
31,7
32,0
33,13
34,6
35,4
36,0
37,13
38,8
39,13
40,4
41,16
42,5
43,17
44,10
45,16
46,9
47,13
48,10
49,3
50,15
51,11
52,11
53,1
54,2
55,6
56,10
57,10
58,8
59,2
60,4
61,13
62,0
63,9
64,17
65,7
66,1
67,4
68,14
69,5
70,3
71,13
72,12
73,0
74,12
75,3
76,0
77,0
78,4
79,9
80,6
81,16
82,3
83,7
84,14
85,11
86,4
87,11
88,11
89,10
90,12
91,1
92,10
93,6
94,1
95,11
96,8
97,15
98,11
99,0
100,9
101,1
102,4
103,2
104,0
105,11
106,5
107,0
108,9
109,0
110,5
111,5
112,6
113,1
114,6
115,12
116,0
117,10
118,10
119,0
120,12
121,2
122,11
123,15
124,7
125,13
126,1
127,5
128,0
129,15
130,15
131,6
132,10
133,9
134,5
135,10
136,1
137,0
138,0
139,11
140,1
141,9
142,8
143,2
144,8
145,11
146,6
147,9
148,17
149,10
150,0
151,7
152,8
153,9
154,12
155,8
156,11
157,9
158,0
159,9
160,10
161,11
162,11
163,2
164,6
165,8
166,9
167,13
168,3
169,6
170,1
171,11
172,5
173,9
174,14
175,8
176,5
177,10
178,4
179,6
180,0
181,13
182,0
183,0
184,6
185,15
186,6
187,0
188,3
189,10
190,1
191,2
192,5
193,12
194,10
195,13
196,7
197,5
198,8
199,1
200,7
201,7
202,7
203,11
204,0
205,11
206,6
207,9
208,6
209,10
210,7
211,10
212,8
213,4
214,15
215,11
216,1
217,5
218,4
219,2
220,14
221,17
222,11
223,13
224,11
225,2
226,14
227,17
228,7
229,16
230,13
231,13
232,7
233,10
234,7
235,0
236,9
237,7
238,13
239,0
240,2
241,0
242,10
243,1
244,6
245,8
246,5
247,4
248,17
249,10
250,4
251,2
252,8
253,17
254,3
255,10
256,14
257,2
258,12
259,11
260,4
261,4
262,10
263,5
264,10
265,4
266,10
267,11
268,9
269,13
270,5
271,12
272,13
273,9
274,0
275,11
276,9
277,0
278,5
279,7
280,4
281,4
282,0
283,0
284,11
285,10
286,17
287,12
288,8
289,11
290,10
291,7
292,17
293,1
294,7
295,9
296,9
297,4
298,11
299,5
300,13
301,10
302,5
303,1
304,14
305,4
306,6
307,0
308,8
309,8
310,6
311,6
312,9
313,7
314,7
315,8
316,5
317,4
318,10
319,13
320,1
321,4
322,13
323,14
324,10
325,10
326,10
327,9
328,1
329,5
330,13
331,0
332,14
333,7
334,1
335,13
336,5
337,14
338,5
339,4
340,1
341,2
342,13
343,13
344,6
345,2
346,4
347,1
348,11
349,13
350,6
351,0
352,3
353,9
354,7
355,12
356,9
357,1
358,4
359,13
360,11
361,15
362,0
363,1
364,11
365,12
366,7
367,0
368,0
369,7
370,4
371,9
372,7
373,10
374,13
375,6
376,1
377,10
378,13
379,15
380,15
381,0
382,2
383,2
384,13
385,16
386,10
387,14
388,1
389,2
390,13
391,8
392,17
393,17
394,14
395,12
396,11
397,13
398,13
399,14
400,6
401,1
402,17
403,10
404,16
405,2
406,12
407,2
408,10
409,1
410,0
411,3
412,3
413,13
414,8
415,11
416,1
417,14
418,10
419,14
420,6
421,12
422,5
423,10
424,0
425,14
426,9
427,9
428,6
429,6
430,1
431,3
432,10
433,10
434,10
435,0
436,4
437,2
438,13
439,3
440,1
441,0
442,1
443,2
444,5
445,11
446,11
447,2
448,0
449,11
450,7
451,11
452,6
453,5
454,9
455,13
456,13
457,15
458,2
459,6
460,4
461,0
462,0
463,14
464,3
465,2
466,4
467,10
468,7
469,7
470,11
471,17
472,10
473,13
474,9
475,2
476,11
477,7
478,14
479,10
480,1
481,1
482,16
483,11
484,12
485,13
486,6
487,9
488,0
489,15
490,9
491,1
492,8
493,0
494,3
495,1
496,1
497,4
498,3
499,0
500,0
501,14
502,10
503,0
504,7
505,2
506,7
507,14
508,1
509,5
510,3
511,4
512,14
513,7
514,4
515,0
516,1
517,12
