id,category
1,3
2,13
3,11
4,1
5,16
6,0
7,6
8,0
9,2
10,0
11,0
12,9
13,15
14,4
15,3
16,3
17,1
18,9
19,7
20,17
21,12
22,3
23,16
24,8
25,4
26,6
27,11
28,1
29,1
30,11
31,9
32,0
33,5
34,3
35,4
36,0
37,13
38,10
39,3
40,4
41,13
42,4
43,17
44,10
45,3
46,11
47,13
48,10
49,3
50,17
51,9
52,13
53,1
54,2
55,4
56,10
57,0
58,8
59,2
60,3
61,5
62,0
63,9
64,7
65,13
66,1
67,3
68,14
69,5
70,11
71,13
72,3
73,0
74,7
75,3
76,0
77,3
78,4
79,11
80,6
81,16
82,3
83,7
84,10
85,11
86,4
87,11
88,11
89,6
90,14
91,15
92,10
93,6
94,1
95,11
96,8
97,15
98,11
99,4
100,11
101,1
102,3
103,2
104,0
105,11
106,3
107,0
108,15
109,0
110,13
111,5
112,6
113,1
114,6
115,2
116,0
117,10
118,2
119,0
120,1
121,13
122,11
123,9
124,7
125,13
126,4
127,5
128,0
129,15
130,17
131,10
132,11
133,11
134,3
135,10
136,1
137,0
138,0
139,11
140,1
141,17
142,1
143,2
144,8
145,9
146,4
147,13
148,17
149,2
150,0
151,3
152,6
153,9
154,12
155,14
156,5
157,3
158,0
159,7
160,10
161,15
162,5
163,2
164,10
165,14
166,7
167,13
168,11
169,6
170,1
171,9
172,5
173,9
174,1
175,8
176,16
177,10
178,12
179,6
180,0
181,13
182,3
183,0
184,6
185,11
186,10
187,4
188,17
189,10
190,3
191,1
192,3
193,12
194,10
195,11
196,13
197,11
198,8
199,1
200,7
201,7
202,5
203,13
204,2
205,7
206,6
207,11
208,1
209,10
210,9
211,10
212,14
213,1
214,11
215,11
216,1
217,4
218,4
219,2
220,8
221,17
222,11
223,9
224,1
225,2
226,14
227,17
228,7
229,16
230,9
231,13
232,11
233,10
234,7
235,0
236,11
237,9
238,17
239,0
240,14
241,0
242,6
243,1
244,6
245,3
246,5
247,4
248,17
249,10
250,3
251,2
252,10
253,1
254,3
255,10
256,14
257,2
258,6
259,11
260,4
261,4
262,6
263,5
264,6
265,3
266,6
267,11
268,13
269,7
270,7
271,3
272,7
273,17
274,0
275,3
276,11
277,0
278,5
279,11
280,17
281,4
282,0
283,0
284,13
285,6
286,17
287,12
288,6
289,2
290,10
291,5
292,17
293,1
294,7
295,9
296,9
297,4
298,7
299,5
300,6
301,14
302,5
303,17
304,11
305,4
306,6
307,0
308,8
309,6
310,6
311,6
312,13
313,11
314,7
315,14
316,5
317,5
318,10
319,5
320,1
321,4
322,13
323,1
324,14
325,8
326,6
327,9
328,1
329,15
330,11
331,0
332,14
333,7
334,1
335,13
336,5
337,14
338,7
339,4
340,1
341,2
342,5
343,13
344,14
345,2
346,3
347,10
348,11
349,15
350,6
351,0
352,3
353,9
354,5
355,10
356,9
357,1
358,4
359,16
360,11
361,13
362,4
363,1
364,13
365,6
366,11
367,0
368,0
369,5
370,4
371,11
372,7
373,10
374,13
375,6
376,1
377,10
378,13
379,15
380,11
381,0
382,9
383,2
384,5
385,9
386,6
387,12
388,17
389,2
390,5
391,14
392,4
393,17
394,8
395,6
396,11
397,7
398,5
399,6
400,6
401,1
402,3
403,6
404,3
405,2
406,12
407,2
408,6
409,11
410,0
411,3
412,5
413,7
414,3
415,11
416,1
417,12
418,6
419,11
420,10
421,6
422,7
423,10
424,0
425,10
426,13
427,11
428,6
429,6
430,1
431,11
432,6
433,1
434,14
435,1
436,4
437,2
438,7
439,11
440,1
441,0
442,0
443,2
444,11
445,5
446,11
447,2
448,0
449,13
450,11
451,11
452,0
453,5
454,10
455,4
456,7
457,7
458,2
459,6
460,17
461,0
462,0
463,14
464,11
465,2
466,16
467,10
468,11
469,11
470,11
471,4
472,12
473,13
474,15
475,3
476,11
477,13
478,14
479,6
480,13
481,1
482,2
483,11
484,14
485,5
486,10
487,11
488,0
489,15
490,9
491,1
492,10
493,4
494,17
495,1
496,1
497,4
498,11
499,0
500,0
501,14
502,2
503,0
504,16
505,3
506,13
507,14
508,1
509,5
510,11
511,4
512,8
513,7
514,1
515,11
516,1
517,10
518,4
519,3
520,6
521,5
522,15
523,6
524,12
525,13
526,3
527,11
528,5
529,10
530,0
531,1
532,7
533,11
534,7
535,8
536,3
537,4
538,13
539,0
540,11
541,13
542,3
543,11
544,2
545,1
546,8
547,6
548,11
549,6
550,14
551,11
552,7
553,6
