id,category
1,3
2,13
3,11
4,1
5,13
6,0
7,6
8,0
9,4
10,0
11,0
12,9
13,15
14,4
15,3
16,3
17,0
18,9
19,7
20,17
21,10
22,0
23,16
24,12
25,4
26,6
27,11
28,17
29,1
30,11
31,7
32,0
33,11
34,4
35,4
36,0
37,13
38,12
39,17
40,4
41,3
42,5
43,17
44,10
45,11
46,11
47,13
48,10
49,13
50,15
51,7
52,1
53,1
54,2
55,0
56,6
57,10
58,14
59,2
60,4
61,4
62,0
63,9
64,17
65,13
66,10
67,11
68,14
69,5
70,3
71,5
72,5
73,0
74,13
75,3
76,0
77,3
78,4
79,7
80,6
81,16
82,5
83,7
84,11
85,11
86,17
87,11
88,11
89,10
90,3
91,5
92,6
93,3
94,1
95,11
96,8
97,9
98,3
99,0
100,11
101,1
102,4
103,2
104,0
105,11
106,5
107,0
108,15
109,0
110,13
111,5
112,6
113,1
114,12
115,2
116,0
117,10
118,2
119,0
120,10
121,9
122,11
123,5
124,7
125,13
126,3
127,5
128,0
129,15
130,4
131,10
132,6
133,11
134,3
135,10
136,1
137,0
138,0
139,11
140,1
141,17
142,1
143,2
144,6
145,9
146,4
147,13
148,17
149,6
150,0
151,3
152,14
153,11
154,12
155,10
156,7
157,7
158,0
159,7
160,10
161,15
162,5
163,2
164,10
165,14
166,13
167,16
168,4
169,6
170,1
171,9
172,5
173,7
174,1
175,8
176,16
177,10
178,12
179,6
180,4
181,13
182,3
183,0
184,0
185,11
186,6
187,0
188,3
189,10
190,3
191,3
192,3
193,12
194,6
195,11
196,13
197,11
198,8
199,1
200,7
201,7
202,11
203,13
204,4
205,11
206,6
207,11
208,6
209,10
210,11
211,10
212,14
213,0
214,0
215,5
216,1
217,4
218,4
219,2
220,8
221,17
222,11
223,9
224,11
225,2
226,14
227,17
228,7
229,4
230,9
231,11
232,7
233,6
234,7
235,0
236,13
237,13
238,13
239,0
240,11
241,0
242,6
243,1
244,6
245,8
246,5
247,4
248,17
249,6
250,17
251,2
252,14
253,11
254,3
255,10
256,12
257,2
258,6
259,11
260,6
261,4
262,6
263,5
264,6
265,3
266,1
267,13
268,13
269,5
270,5
271,4
272,0
273,4
274,4
275,3
276,9
277,0
278,3
279,7
280,4
281,4
282,0
283,0
284,13
285,0
286,17
287,10
288,10
289,3
290,14
291,4
292,4
293,1
294,7
295,9
296,7
297,4
298,7
299,4
300,3
301,10
302,11
303,1
304,1
305,4
306,6
307,0
308,8
309,10
310,6
311,6
312,11
313,11
314,7
315,8
316,5
317,4
318,10
319,5
320,1
321,4
322,13
323,14
324,12
325,8
326,6
327,9
328,3
329,15
330,5
331,0
332,14
333,13
334,6
335,7
336,5
337,14
338,11
339,4
340,1
341,2
342,13
343,13
344,0
345,1
346,3
347,1
348,11
349,7
350,2
351,0
352,11
353,11
354,11
355,10
356,9
357,1
358,4
359,9
360,11
361,3
362,0
363,1
364,13
365,10
366,11
367,0
368,0
369,7
370,4
371,11
372,7
373,6
374,7
375,6
376,1
377,10
378,4
379,5
380,11
381,0
382,12
383,2
384,5
385,13
386,4
387,14
388,17
389,2
390,0
391,10
392,4
393,0
394,14
395,6
396,11
397,7
398,4
399,8
400,6
401,0
402,2
403,6
404,5
405,2
406,12
407,2
408,6
409,1
410,0
411,3
412,3
413,5
414,14
415,11
416,0
417,12
418,6
419,12
420,6
421,12
422,7
423,10
424,17
425,7
426,13
427,11
428,3
429,10
430,1
431,11
432,10
433,0
434,10
435,0
436,4
437,2
438,13
439,15
440,1
441,10
442,0
443,2
444,5
445,5
446,11
447,2
448,0
449,13
450,11
451,9
452,9
453,5
454,10
455,13
456,7
457,7
458,2
459,6
460,4
461,0
462,0
463,14
464,11
465,2
466,4
467,6
468,11
469,11
470,9
471,7
472,12
473,3
474,15
475,4
476,11
477,11
478,10
479,6
480,3
481,1
482,3
483,3
484,12
485,5
486,6
487,1
488,0
489,5
490,9
491,1
492,8
493,17
494,4
495,1
496,1
497,4
498,3
499,0
500,0
501,14
502,17
503,0
504,15
505,4
506,11
507,8
508,11
509,5
510,3
511,4
512,8
513,11
514,4
515,4
516,1
517,10
518,4
519,0
520,8
521,11
522,11
523,12
524,14
525,7
526,3
527,11
528,13
529,10
530,0
531,1
532,11
533,11
534,7
535,8
536,3
537,17
538,7
539,10
540,11
541,11
542,3
543,11
544,4
545,1
546,8
547,3
548,11
549,6
550,14
551,11
552,7
553,6
